64.22285714285714
Coverage:61.0| Fitness: 60.25333333333333
Coverage: 65.0 | Fitness: 63.95777777777777
-----------------------------------
Coverage: 63.0 | Fitness: 62.00666666666667Time passed: 264.76437854766846
-----------------------------------
Coverage: 40.0 | Fitness: 39.5 | Time passed: 8.235487699508667
Coverage: 60.0 | Fitness: 39.5 | Time passed: 8.24398946762085
Coverage: 60.0 | Fitness: 39.5 | Time passed: 8.365153074264526
Coverage: 60.0 | Fitness: 59.5 | Time passed: 8.336045742034912
Coverage: 40.0 | Fitness: 39.5 | Time passed: 8.30178713798523
Coverage: 40.0 | Fitness: 39.5 | Time passed: 8.299480676651001
Coverage: 60.0 | Fitness: 59.5 | Time passed: 8.247269868850708
Coverage: 40.0 | Fitness: 39.5 | Time passed: 8.417963981628418
Coverage: 60.0 | Fitness: 59.5 | Time passed: 8.307734251022339
Coverage: 60.0 | Fitness: 59.5 | Time passed: 8.494960308074951
Coverage: 60.0 | Fitness: 59.5 | Time passed: 12.70856761932373
Coverage: 60.0 | Fitness: 59.5 | Time passed: 9.31461215019226
Coverage: 40.0 | Fitness: 39.5 | Time passed: 82.31751894950867
Coverage: 40.0 | Fitness: 39.5 | Time passed: 31.789857149124146
Coverage: 40.0 | Fitness: 39.5Coverage: 40.0 | Fitness: 39.5Coverage: 60.0 | Fitness: 59.5
-----------------------------------------------------------------
HardToFind Example
defaul Neighbor operator
Coverage: 40.0 | Fitness: 39.5 | Time passed: 45.38087582588196
Coverage: 60.0 | Fitness: 59.5 | Time passed: 32.794352531433105
Coverage: 40.0 | Fitness: 39.5 | Time passed: 40.876832485198975
Coverage: 40.0 | Fitness: 39.5 | Time passed: 43.806326389312744
Coverage: 60.0 | Fitness: 59.5 | Time passed: 36.192097663879395
Coverage: 40.0 | Fitness: 39.5 | Time passed: 42.333296060562134
Coverage: 40.0 | Fitness: 39.5 | Time passed: 45.027470111846924
Coverage: 60.0 | Fitness: 59.5 | Time passed: 32.38093900680542
Coverage: 60.0 | Fitness: 59.5 | Time passed: 37.83623695373535
Coverage: 60.0 | Fitness: 59.5 | Time passed: 40.72171711921692
Coverage: 40.0 | Fitness: 39.5 | Time passed: 41.04076313972473
Coverage: 40.0 | Fitness: 59.5 | Time passed: 45.86564636230469
Coverage: 40.0 | Fitness: 59.5 | Time passed: 9.95974588394165
Coverage: 40.0 | Fitness: 39.5 | Time passed: 45.605337381362915
Coverage: 60.0 | Fitness: 59.5 | Time passed: 9.91127896308899
Coverage: 40.0 | Fitness: 39.5 | Time passed: 41.23925590515137
Coverage: 60.0 | Fitness: 39.5 | Time passed: 37.32815718650818
Coverage: 40.0 | Fitness: 39.5 | Time passed: 41.466967821121216
Coverage: 40.0 | Fitness: 39.5 | Time passed: 41.77612805366516
Coverage: 40.0 | Fitness: 59.5 | Time passed: 46.12528896331787
Coverage: 60.0 | Fitness: 59.5 | Time passed: 40.190747022628784
close Neighbor operator
Coverage: 60.0 | Fitness: 59.5 | Time passed: 26.412174940109253
Coverage: 60.0 | Fitness: 59.5 | Time passed: 32.41005825996399
Coverage: 40.0 | Fitness: 59.5 | Time passed: 16.530916929244995
Coverage: 40.0 | Fitness: 59.5 | Time passed: 41.92707943916321
Coverage: 40.0 | Fitness: 59.5 | Time passed: 18.074052810668945
Coverage: 60.0 | Fitness: 59.5 | Time passed: 34.20919680595398
Coverage: 40.0 | Fitness: 59.5 | Time passed: 33.89785146713257
Coverage: 40.0 | Fitness: 59.5 | Time passed: 28.874237298965454
Coverage: 60.0 | Fitness: 59.5 | Time passed: 29.192930936813354
Coverage: 60.0 | Fitness: 59.5 | Time passed: 23.863499879837036
Coverage: 60.0 | Fitness: 59.5 | Time passed: 31.3226580619812
Coverage: 60.0 | Fitness: 59.5 | Time passed: 30.04488730430603
Coverage: 40.0 | Fitness: 59.5 | Time passed: 32.588178634643555
Coverage: 40.0 | Fitness: 59.5 | Time passed: 31.880706548690796
Coverage: 60.0 | Fitness: 59.5 | Time passed: 34.25632905960083
Coverage: 60.0 | Fitness: 59.5 | Time passed: 25.82107448577881
Coverage: 60.0 | Fitness: 59.5 | Time passed: 29.032772541046143
Coverage: 60.0 | Fitness: 59.5 | Time passed: 24.0006844997406
Coverage: 40.0 | Fitness: 59.5 | Time passed: 35.867268323898315
---------------------------------
BMICalc
default operator

Coverage: 41.0 | Fitness: 40.153333333333336 Acceptance for each iteration: [] | Time passed: 10.478566646575928
Coverage: 51.0 | Fitness: 50.08571428571428 Acceptance for each iteration: [0.0, 0.3333333333333333, 0.4, 0.4, 0.4, 0.4, 0.3333333333333333, 0.3333333333333333] | Time passed: 15.14868974685669
Coverage: 42.0 | Fitness: 41.422222222222224 Acceptance for each iteration: [-1, -1, 0.0, 0.5, 0.75, 0.75, 0.5] | Time passed: 13.003942966461182
Coverage: 51.0 | Fitness: 50.10666666666667 Acceptance for each iteration: [-1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0] | Time passed: 11.079476594924927
Coverage: 45.0 | Fitness: 42.64333333333333 Acceptance for each iteration: [] | Time passed: 12.661517858505249
Coverage: 53.0 | Fitness: 52.16 Acceptance for each iteration: [0.0, 0.0, 0.25, 0.42857142857142855, 0.42857142857142855, 0.3333333333333333] | Time passed: 21.97269868850708
Coverage: 59.0 | Fitness: 58.35 Acceptance for each iteration: [-1, 1.0, 0.6666666666666666, 0.6666666666666666, 0.6, 0.6, 0.6] | Time passed: 18.661773204803467
Coverage: 60.0 | Fitness: 58.84074074074074 Acceptance for each iteration: [1.0, 1.0, 1.0, 1.0, 1.0] | Time passed: 14.50513243675232
Coverage: 44.0 | Fitness: 42.289743589743594 Acceptance for each iteration: [-1, 1.0, 0.8571428571428571] | Time passed: 15.71567678451538
Coverage: 57.0 | Fitness: 56.19444444444444 Acceptance for each iteration: [-1, -1, -1, 0.5, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666] | Time passed: 13.329009771347046
Coverage: 39.0 | Fitness: 38.416666666666664 Acceptance for each iteration: [0.6666666666666666, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75] | Time passed: 13.621332883834839
Coverage: 42.0 | Fitness: 41.275 Acceptance for each iteration: [] | Time passed: 11.47907543182373
Coverage: 53.0 | Fitness: 51.74583333333334 Acceptance for each iteration: [-1, 0.0, 0.5, 0.5, 0.5] | Time passed: 13.00520372390747
Coverage: 51.0 | Fitness: 49.60333333333333 Acceptance for each iteration: [0.75, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666] | Time passed: 17.04100728034973
Coverage: 58.0 | Fitness: 56.94285714285714 Acceptance for each iteration: [1.0, 0.5, 0.5, 0.3333333333333333, 0.25, 0.25, 0.25, 0.2, 0.2] | Time passed: 17.946232795715332
Coverage: 54.0 | Fitness: 53.08888888888889 Acceptance for each iteration: [0.0, 0.5, 0.75, 0.75, 0.75, 0.75] | Time passed: 13.59838318824768
Coverage: 51.0 | Fitness: 49.681481481481484 Acceptance for each iteration: [-1, 1.0, 1.0, 1.0, 0.6666666666666666, 0.5, 0.5] | Time passed: 16.700076580047607
Coverage: 45.0 | Fitness: 44.18333333333333 Acceptance for each iteration: [-1, -1, -1, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666] | Time passed: 13.32655930519104
Coverage: 56.0 | Fitness: 54.24761904761905 Acceptance for each iteration: [1.0, 0.75, 0.75, 0.8333333333333334] | Time passed: 19.60401964187622
Coverage: 57.0 | Fitness: 55.45757575757575 Acceptance for each iteration: [] | Time passed: 12.057947635650635

close Neighbor
Coverage: 31.0 | Fitness: 30.5 Acceptance for each iteration: [] | Time passed: 27.39336371421814
Coverage: 44.0 | Fitness: 41.97708333333333 Acceptance for each iteration: [] | Time passed: 12.483741044998169
Coverage: 40.0 | Fitness: 39.21666666666667 Acceptance for each iteration: [] | Time passed: 56.44877743721008
Coverage: 61.0 | Fitness: 58.99411764705882 Acceptance for each iteration: [0.0, 0.0] | Time passed: 46.2154586315155
Coverage: 44.0 | Fitness: 42.857142857142854 Acceptance for each iteration: [0.0, 0.0] | Time passed: 37.63255715370178
Coverage: 46.0 | Fitness: 43.57333333333333 Acceptance for each iteration: [] | Time passed: 12.412887334823608
Coverage: 35.0 | Fitness: 34.46666666666666 Acceptance for each iteration: [] | Time passed: 10.816275835037231
Coverage: 43.0 | Fitness: 42.31666666666666 Acceptance for each iteration: [] | Time passed: 11.345588684082031
Coverage: 52.0 | Fitness: 50.42777777777778 Acceptance for each iteration: [-1] | Time passed: 39.769888401031494
Coverage: 55.0 | Fitness: 53.696296296296296 Acceptance for each iteration: [0.0] | Time passed: 44.13017129898071
Coverage: 56.0 | Fitness: 55.07333333333333 Acceptance for each iteration: [0.0, 0.0, 0.0] | Time passed: 47.898638010025024
Coverage: 63.0 | Fitness: 61.07555555555555 Acceptance for each iteration: [0.0, 0.0, 0.0] | Time passed: 43.227657318115234
Coverage: 44.0 | Fitness: 42.77037037037037 Acceptance for each iteration: [] | Time passed: 11.096701383590698
Coverage: 51.0 | Fitness: 49.833333333333336 Acceptance for each iteration: [1.0, 0.5, 0.5, 0.25] | Time passed: 42.853941440582275
Coverage: 54.0 | Fitness: 52.233333333333334 Acceptance for each iteration: [-1, -1, -1] | Time passed: 44.573585748672485
Coverage: 57.0 | Fitness: 55.013333333333335 Acceptance for each iteration: [-1, 0.0] | Time passed: 43.588558197021484
Coverage: 50.0 | Fitness: 49.05 Acceptance for each iteration: [0.0] | Time passed: 53.93199801445007
Coverage: 45.0 | Fitness: 43.27692307692308 Acceptance for each iteration: [0.0] | Time passed: 40.487711906433105
Coverage: 51.0 | Fitness: 49.25238095238095 Acceptance for each iteration: [-1, -1, -1] | Time passed: 43.512158155441284
Coverage: 59.0 | Fitness: 56.72982456140351 Acceptance for each iteration: [1.0, 0.3333333333333333, 0.3333333333333333] | Time passed: 51.218597173690796
--------------------------------------------------------------------
BMICalc

default
Coverage: 59.0 | Fitness: 57.8125 | Avarage acceptance for each iteration: 0.1410216767359625 | Time passed: 24.616798400878906
Coverage: 45.0 | Fitness: 43.920833333333334 | Avarage acceptance for each iteration: 0.5444444444444443 | Time passed: 15.241465330123901
Coverage: 54.0 | Fitness: 52.20476190476191 | Avarage acceptance for each iteration: 0.4325396825396825 | Time passed: 20.852931261062622
Coverage: 57.0 | Fitness: 55.074999999999996 | Avarage acceptance for each iteration: 1.0 | Time passed: 16.474018335342407
Coverage: 44.0 | Fitness: 42.52121212121212 | Avarage acceptance for each iteration: 0.9285714285714286 | Time passed: 13.970402956008911
Coverage: 49.0 | Fitness: 48.32222222222222 | Avarage acceptance for each iteration: 0.09563492063492066 | Time passed: 21.503233909606934
Coverage: 53.0 | Fitness: 50.920833333333334 | Avarage acceptance for each iteration: 0.29166666666666663 | Time passed: 18.330965042114258
Coverage: 44.0 | Fitness: 43.076190476190476 | Avarage acceptance for each iteration: 0.675 | Time passed: 14.30104923248291
Coverage: 51.0 | Fitness: 50.225 | Avarage acceptance for each iteration: 0.0 | Time passed: 13.684502840042114
Coverage: 59.0 | Fitness: 56.870370370370374 | Avarage acceptance for each iteration: 0.8620000000000002 | Time passed: 22.9897403717041
Coverage: 46.0 | Fitness: 43.586666666666666 | Avarage acceptance for each iteration: no worse solution was proposed | Time passed: 13.611712455749512
Coverage: 46.0 | Fitness: 44.28717948717949 | Avarage acceptance for each iteration: 0.6666666666666666 | Time passed: 18.68211555480957
Coverage: 55.0 | Fitness: 53.40769230769231 | Avarage acceptance for each iteration: 0.38744588744588754 | Time passed: 18.97867202758789
Coverage: 45.0 | Fitness: 44.425000000000004 | Avarage acceptance for each iteration: 0.8534769463340894 | Time passed: 16.145857334136963
Coverage: 40.0 | Fitness: 39.026666666666664 | Avarage acceptance for each iteration: 0.09576719576719575 | Time passed: 19.011576175689697
Coverage: 58.0 | Fitness: 56.364102564102566 | Avarage acceptance for each iteration: 0.76 | Time passed: 19.903667211532593
Coverage: 40.0 | Fitness: 39.233333333333334 | Avarage acceptance for each iteration: 0.0196078431372549 | Time passed: 14.94455599784851
Coverage: 54.0 | Fitness: 52.271794871794874 | Avarage acceptance for each iteration: 0.6999999999999998 | Time passed: 17.40849280357361
Coverage: 31.0 | Fitness: 30.233333333333334 | Avarage acceptance for each iteration: no worse solution was proposed | Time passed: 11.773791074752808
Coverage: 43.0 | Fitness: 42.18666666666667 | Avarage acceptance for each iteration: 0.07866666666666665 | Time passed: 18.976668119430542

close Neighbor
Coverage: 58.0 | Fitness: 56.44444444444444 | Avarage acceptance for each iteration: 0.10133854536839615 | Time passed: 39.264079332351685
Coverage: 56.0 | Fitness: 54.27857142857143 | Avarage acceptance for each iteration: 0.0 | Time passed: 49.2808837890625
Coverage: 52.0 | Fitness: 51.211111111111116 | Avarage acceptance for each iteration: 0.0 | Time passed: 48.700326681137085
Coverage: 52.0 | Fitness: 50.87619047619047 | Avarage acceptance for each iteration: 0.0 | Time passed: 47.42334246635437
Coverage: 45.0 | Fitness: 44.11333333333334 | Avarage acceptance for each iteration: 0.0 | Time passed: 41.82199716567993
Coverage: 44.0 | Fitness: 41.870370370370374 | Avarage acceptance for each iteration: 0.0 | Time passed: 45.24240446090698
Coverage: 64.0 | Fitness: 62.596969696969694 | Avarage acceptance for each iteration: 0.0 | Time passed: 44.92122411727905
Coverage: 54.0 | Fitness: 51.979166666666664 | Avarage acceptance for each iteration: no worse solution was proposed | Time passed: 12.721780776977539
Coverage: 43.0 | Fitness: 42.41666666666667 | Avarage acceptance for each iteration: no worse solution was proposed | Time passed: 11.16513180732727
Coverage: 61.0 | Fitness: 58.625 | Avarage acceptance for each iteration: no worse solution was proposed | Time passed: 13.031413078308105
Coverage: 49.0 | Fitness: 47.54242424242424 | Avarage acceptance for each iteration: 0.2942386831275718 | Time passed: 50.17682480812073
Coverage: 43.0 | Fitness: 42.175000000000004 | Avarage acceptance for each iteration: 0.7555555555555552 | Time passed: 58.57591366767883
